"Part";"Value";"Device";"Package";"Description";"";
"B1";"SMTU2450N-LF.TR";"SMTU2450N-LF.TR";"SMTU2450N-LF";"Coin Cell Battery Holders SFC MNT FOR CR2450N";"";
"C1";"1nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C2";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C5";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C6";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C7";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"IC1";"PIC16LF18446-I_SS";"PIC16LF18446-I_SS";"SOP65P780X200-20";"8-bit Microcontrollers - MCU 28KB, 2KB RAM, 2xPWMs, Comparator, DAC, 12-bit ADCC, CWG,  EUSART, SPI/I2C";"";
"IC2";"SI7020-A20-GM";"SI7020-A20-GM";"DFN-6-3X3-SI7020";"Si7020G Dig RH Temp Sensor Silicon Labs Si7020-A20-GM Temperature & Humidity Sensor, -40  +85 C, 6-Pin DFN";"";
"JP1";"";"PINHD-1X6-S";"1X06-S";"PIN HEADER";"";
"JP2";"";"PINHD-2X3";"2X03";"PIN HEADER";"";
"MK1";"SPH0644HM4H-1-3D";"SPH0644HM4H-1-3D";"SOJ88P324X95-6";"MEMS Microphones";"";
"Q1";"SI2333DDS-T1-GE3";"SI2333DDS-T1-GE3";"SOT95P237X112-3";"MOSFET P-Ch 12V 5A TrenchFET SOT23 Vishay SI2333DDS-T1-GE3 P-channel MOSFET Transistor, 6 A, 12 V, 3-Pin SOT-23";"";
"R1";"470k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R4";"4k7";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"T1";"VEMT2523SLX01";"VEMT2523SLX01";"VEMT2523SL";"Silicon NPN Phototransistor, SMD package. The device is";"";
"T2";"VEMT2523SLX01";"VEMT2523SLX01";"VEMT2523SL";"Silicon NPN Phototransistor, SMD package. The device is";"";
"U1";"RN4871-I";"RN4871-I";"RN4871";"Microchip RN4871 BluetoothÂ® 4.2 Low Energy Module";"";
